X,Y,ET_ID,FID_JustSo,ET_X,ET_Y,ET_ORDER,ET_IDP
306739.969600000418723,5447143.4425,1,1,306739.96960000001,5447143.44249999989,0.00000000000,1
306730.682699999772012,5447147.151,1,1,306730.68270000000,5447147.15099999961,1.00000000000,1
306730.682699999772012,5447147.151,2,1,306730.68270000000,5447147.15099999961,0.00000000000,2
306721.3958,5447150.8595,2,1,306721.39580000000,5447150.85950000025,1.00000000000,2
306721.3958,5447150.8595,3,1,306721.39580000000,5447150.85950000025,0.00000000000,3
306712.108799999579787,5447154.5681,3,1,306712.10879999999,5447154.56809999980,1.00000000000,3
306712.108799999579787,5447154.5681,4,1,306712.10879999999,5447154.56809999980,0.00000000000,4
306702.821899999864399,5447158.276599999517,4,1,306702.82189999998,5447158.27660000045,1.00000000000,4
306702.821899999864399,5447158.276599999517,5,1,306702.82189999998,5447158.27660000045,0.00000000000,5
306701.775399999693036,5447158.694499999285,5,1,306701.77539999998,5447158.69450000022,1.00000000000,5
306694.293700000271201,5447163.4649,5,1,306694.29369999998,5447163.46490000002,2.00000000000,5
306694.293700000271201,5447163.4649,6,1,306694.29369999998,5447163.46490000002,0.00000000000,6
306685.8618,5447168.841099999845,6,1,306685.86180000001,5447168.84109999985,1.00000000000,6
306685.8618,5447168.841099999845,7,1,306685.86180000001,5447168.84109999985,0.00000000000,7
306677.429899999872,5447174.217199999839,7,1,306677.42989999999,5447174.21719999984,1.00000000000,7
306677.429899999872,5447174.217199999839,8,1,306677.42989999999,5447174.21719999984,0.00000000000,8
306668.998100000433624,5447179.593399999663,8,1,306668.99810000003,5447179.59339999966,1.00000000000,8
306668.998100000433624,5447179.593399999663,9,1,306668.99810000003,5447179.59339999966,0.00000000000,9
306660.566200000233948,5447184.969599999487,9,1,306660.56620000000,5447184.96960000042,1.00000000000,9
306660.566200000233948,5447184.969599999487,10,1,306660.56620000000,5447184.96960000042,0.00000000000,10
306654.737700000405312,5447188.6859,10,1,306654.73770000000,5447188.68589999992,1.00000000000,10
306652.153900000266731,5447190.376199999824,10,1,306652.15389999998,5447190.37619999982,2.00000000000,10
306652.153900000266731,5447190.376199999824,11,1,306652.15389999998,5447190.37619999982,0.00000000000,11
306643.7856,5447195.8508,11,1,306643.78560000000,5447195.85080000013,1.00000000000,11
306643.7856,5447195.8508,12,1,306643.78560000000,5447195.85080000013,0.00000000000,12
306641.023699999786913,5447197.6577,12,1,306641.02370000002,5447197.65770000033,1.00000000000,12
306635.536999999545515,5447201.5021,12,1,306635.53700000001,5447201.50210000016,2.00000000000,12
306635.536999999545515,5447201.5021,13,1,306635.53700000001,5447201.50210000016,0.00000000000,13
